epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1571.96,1.71138,1.69384,1.35688,0.45072,0.31887,0.30397,0.1343,1.98941,1.82365,1.55208,0.000665116,0.000665116,0.000665116
2,3213.63,1.85052,1.64027,1.47457,0.50074,0.35503,0.35263,0.16469,1.87912,1.63899,1.48813,0.00119994,0.00119994,0.00119994
3,4763.75,1.82846,1.59157,1.46563,0.49033,0.34634,0.34884,0.1675,1.88667,1.6301,1.50812,0.00160276,0.00160276,0.00160276
4,6261.95,1.81301,1.56683,1.46585,0.5318,0.38157,0.38757,0.18999,1.82098,1.54275,1.45782,0.001406,0.001406,0.001406
5,7867.14,1.75186,1.48658,1.42763,0.52447,0.37791,0.38905,0.1943,1.78272,1.54921,1.4491,0.001208,0.001208,0.001208
6,9502.98,1.70057,1.43334,1.39367,0.56665,0.41137,0.42938,0.21972,1.68978,1.42938,1.38774,0.00101,0.00101,0.00101
7,11135.1,1.66637,1.38258,1.37383,0.56854,0.4071,0.43224,0.22284,1.67185,1.41371,1.37272,0.000812,0.000812,0.000812
8,12781,1.61903,1.33268,1.35046,0.59036,0.43647,0.46353,0.24531,1.61629,1.32372,1.34396,0.000614,0.000614,0.000614
9,15035.2,1.58187,1.28752,1.3266,0.60461,0.44043,0.48039,0.25546,1.58963,1.28028,1.31819,0.000416,0.000416,0.000416
10,16677.1,1.55323,1.2493,1.31276,0.61211,0.44819,0.48799,0.26257,1.56579,1.25226,1.30083,0.000218,0.000218,0.000218
